Title,Year,Rating,Genres,Streaming_Services,URL
Rebel Moon: Part One - A Child of Fire,2023, 5.6,"Action & Adventure, Drama, Fantasy, Science-Fiction",['Netflix'],https://www.justwatch.com/in/movie/rebel-moon
Batman Begins,2005, 8.2,"Action & Adventure, Crime, Drama","['Apple TV', 'Netflix', 'Amazon Video', 'Apple TV']",https://www.justwatch.com/in/movie/batman-begins
K.G.F: Chapter 2,2022, 8.3,"Action & Adventure, Crime, Drama, Mystery & Thriller","['Amazon Prime Video', 'Amazon Video']",https://www.justwatch.com/in/movie/k-g-f-chapter-2
Meg 2: The Trench,2023, 5.0,"Horror, Action & Adventure, Science-Fiction, Mystery & Thriller","['Apple TV', 'Jio Cinema', 'Amazon Video', 'Apple TV']",https://www.justwatch.com/in/movie/the-meg-2-the-trench
DD Returns,2023, 6.2,"Comedy, Horror",['Amazon Prime Video'],https://www.justwatch.com/in/movie/dd-returns
The Dark Knight,2008, 9.0,"Action & Adventure, Crime, Mystery & Thriller, Drama","['Apple TV', 'Netflix', 'Amazon Video', 'Apple TV']",https://www.justwatch.com/in/movie/the-dark-knight
Conjuring Kannappan,2023, 6.1,"Horror, Comedy",['Netflix'],https://www.justwatch.com/in/movie/conjuring-kannappan
Dunkirk,2017, 7.8,"Action & Adventure, Drama, History, Mystery & Thriller, War & Military","['Apple TV', 'Amazon Prime Video', 'Google Play Movies', 'Apple TV']",https://www.justwatch.com/in/movie/dunkirk
Migration,2023, 6.7,"Comedy, Animation, Action & Adventure, Kids & Family, Fantasy",[],https://www.justwatch.com/in/movie/migration
RRR,2022, 7.8,"Drama, Action & Adventure",['Netflix'],https://www.justwatch.com/in/movie/roudram-ranam-rudhiram
The Abandoned,2023, 6.3,"Mystery & Thriller, Drama, Crime",['Netflix'],https://www.justwatch.com/in/movie/the-abandoned-2023
Jailer,2023, 7.1,"Action & Adventure, Crime, Mystery & Thriller, Comedy","['Amazon Prime Video', 'Amazon Video']",https://www.justwatch.com/in/movie/jailer
Tumbbad,2018, 8.2,"Horror, Fantasy, Mystery & Thriller, Drama, Made in Europe",[],https://www.justwatch.com/in/movie/tumbbad
Falimy,2023, 7.3,Drama,['Hotstar'],https://www.justwatch.com/in/movie/falimy
Dune,2021, 8.0,"Science-Fiction, Action & Adventure, Drama","['Apple TV', 'Amazon Video', 'Apple TV']",https://www.justwatch.com/in/movie/dune-2021
Joram,2023, 7.4,"Crime, Drama, Mystery & Thriller, Action & Adventure",['Bookmyshow'],https://www.justwatch.com/in/movie/joram
Uri: The Surgical Strike,2019, 8.2,"Drama, Action & Adventure, War & Military, History",['Zee5'],https://www.justwatch.com/in/movie/uri-the-surgical-strike
May December,2023, 6.9,"Drama, Comedy",[],https://www.justwatch.com/in/movie/may-december
Captain Miller,2024, 7.3,"Action & Adventure, Drama, Mystery & Thriller",['Bookmyshow'],https://www.justwatch.com/in/movie/captain-miller
